operator_id,missed_calls,total_incoming,avg_waiting,total_outgoing,missed_rate,ineficaz
910038.0,0.0,2.0,15.0,0.0,0.0,True
910044.0,0.0,19.0,28.2,0.0,0.0,True
910224.0,0.0,11.0,19.125,0.0,0.0,True
910226.0,2.0,8.0,16.5,0.0,0.25,True
910516.0,0.0,35.0,31.32,0.0,0.0,True
910520.0,0.0,,,227.0,,True
910524.0,0.0,,,85.0,,True
910530.0,0.0,,,1077.0,,False
910532.0,0.0,,,214.0,,True
910540.0,1.0,169.0,56.19047619047619,0.0,0.005917159763313609,True
910594.0,0.0,,,28.0,,True
910902.0,0.0,,,17.0,,True
910926.0,0.0,,,25.0,,True
910958.0,0.0,13.0,70.9,0.0,0.0,True
911102.0,3.0,36.0,44.791666666666664,0.0,0.08333333333333333,True
911104.0,0.0,1.0,13.0,0.0,0.0,True
911136.0,1.0,240.0,91.65384615384616,0.0,0.004166666666666667,True
911138.0,4.0,316.0,101.50819672131148,0.0,0.012658227848101266,True
911140.0,2.0,75.0,54.583333333333336,0.0,0.02666666666666667,True
911142.0,3.0,26.0,65.88888888888889,0.0,0.11538461538461539,True
911152.0,0.0,2.0,43.0,0.0,0.0,True
911214.0,0.0,2.0,18.0,0.0,0.0,True
911310.0,2.0,418.0,92.91803278688525,107.0,0.004784688995215311,True
912010.0,2.0,146.0,49.333333333333336,0.0,0.0136986301369863,True
912252.0,0.0,42.0,22.93103448275862,269.0,0.0,True
912296.0,3.0,176.0,42.333333333333336,511.0,0.017045454545454544,True
912684.0,1.0,28.0,59.411764705882355,0.0,0.03571428571428571,True
912722.0,0.0,175.0,20.470588235294116,432.0,0.0,True
913474.0,0.0,2.0,74.0,11.0,0.0,True
913780.0,0.0,5.0,29.666666666666668,0.0,0.0,True
913788.0,2.0,831.0,182.91780821917808,1029.0,0.0024067388688327317,True
913868.0,0.0,19.0,48.0,25.0,0.0,True
913886.0,1.0,2.0,13.5,0.0,0.5,True
913938.0,14.0,5221.0,535.047619047619,436.0,0.002681478643937943,True
913942.0,29.0,2641.0,350.85555555555555,468.0,0.010980689132904203,True
913984.0,0.0,1.0,17.0,11.0,0.0,True
914036.0,0.0,,,35.0,,True
914050.0,0.0,12.0,10.2,426.0,0.0,True
914052.0,0.0,,,1468.0,,False
914168.0,0.0,1.0,11.0,10.0,0.0,True
914170.0,0.0,15.0,29.5,4.0,0.0,True
914172.0,0.0,12.0,34.5,0.0,0.0,True
914238.0,0.0,,,374.0,,True
914240.0,0.0,,,56.0,,True
914256.0,0.0,25.0,23.9375,1.0,0.0,True
914266.0,0.0,,,5.0,,True
914272.0,0.0,,,1.0,,True
914338.0,0.0,,,48.0,,True
914348.0,0.0,,,9.0,,True
914426.0,0.0,3.0,23.0,4.0,0.0,True
914440.0,1.0,30.0,30.157894736842106,1.0,0.03333333333333333,True
914626.0,0.0,,,1.0,,True
914630.0,0.0,25.0,22.615384615384617,143.0,0.0,True
914636.0,0.0,3.0,14.0,15.0,0.0,True
914816.0,0.0,,,7.0,,True
914842.0,0.0,6.0,18.833333333333332,0.0,0.0,True
914848.0,0.0,2.0,18.5,20.0,0.0,True
914870.0,0.0,5.0,21.0,4.0,0.0,True
915358.0,0.0,,,277.0,,True
915360.0,0.0,,,287.0,,True
915504.0,0.0,,,33.0,,True
915556.0,3.0,196.0,20.29230769230769,2225.0,0.015306122448979591,True
915558.0,0.0,,,161.0,,True
915614.0,0.0,2.0,56.0,76.0,0.0,True
915958.0,0.0,11.0,37.166666666666664,23.0,0.0,True
916424.0,3.0,493.0,122.14634146341463,143.0,0.006085192697768763,True
916596.0,0.0,,,30.0,,True
916618.0,0.0,55.0,35.75,120.0,0.0,True
917234.0,0.0,5.0,13.8,1220.0,0.0,False
917252.0,0.0,7.0,66.5,14.0,0.0,True
